"","web_url","snippet","lead_paragraph","source","pub_date","document_type","news_desk","section_name","type_of_material","_id","word_count","score","uri","subsectoinName","print_page","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"123","https://www.nytimes.com/2019/04/05/world/europe/brexit-extension-theresa-may.html","The leaders of Britain’s Conservative and Labour Parties face challenges in reaching an agreement, each because of political pushback to compromise from within their parties.","The leaders of Britain’s Conservative and Labour Parties face challenges in reaching an agreement, each because of political pushback to compromise from within their parties.","The New York Times","2019-04-05T08:44:16+0000","article","Foreign","World","News","5ca715b949f0eacbf1f81154",1252,0,"nyt://article/0f9b235a-6272-503a-ae29-739e92584e97","Europe","6","May’s Compromise Talks With Corbyn Hit Snag as She Asks for Brexit Extension",NA,NA,"Have May-Corbyn Brexit Talks Made Progress? It Depends Whom You Ask",NA,NA,NA,"By BENJAMIN MUELLER",NA
"124","https://www.nytimes.com/reuters/2019/04/08/business/08reuters-korean-air-chairman.html","Korean Air patriarch, chairman and CEO Cho Yang-ho died of a chronic illness on Monday, weeks after shareholders ended his 27-year tenure on the board of the country's biggest carrier due to perceived leadership failings.","Korean Air patriarch, chairman and CEO Cho Yang-ho died of a chronic illness on Monday, weeks after shareholders ended his 27-year tenure on the board of the country's biggest carrier due to perceived leadership failings.","Reuters","2019-04-08T06:18:55+0000","article","None","Business","News","5caae82949f0eacbf1f8184b",625,0,"nyt://article/ca600f12-c41e-5df2-b718-5cdd3ac75578",NA,NA,"Scandal-Prone Korean Air Chairman Dies Weeks After Board Ouster",NA,NA,"Scandal-Prone Korean Air Chairman Dies Weeks After Board Ouster",NA,NA,NA,"By REUTERS","REUTERS"
"125","https://www.nytimes.com/aponline/2019/04/09/us/ap-us-collins-fundraising.html","Republican Sen. Susan Collins has out-raised a liberal crowdfunding effort to unseat her, thanks to out-of-state donors, according to campaign finance reports recently filed with the Federal Election Commission.","Republican Sen. Susan Collins has out-raised a liberal crowdfunding effort to unseat her, thanks to out-of-state donors, according to campaign finance reports recently filed with the Federal Election Commission.","AP","2019-04-09T16:07:00+0000","article","None","U.S.","News","5cacc37f49f0eacbf1f81fbe",345,0,"nyt://article/96bdcc21-9d18-5b00-b05f-472e67c20b29",NA,NA,"Out-Of-State Funding Boosts Collins' Coffers",NA,NA,"Out-Of-State Funding Boosts Collins' Coffers",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"126","https://www.nytimes.com/reuters/2019/04/04/world/europe/04reuters-britain-eu-lords.html","The upper house of Britain's parliament will start debating on Thursday legislation to force Prime Minister Theresa May to seek a Brexit delay to prevent a potentially disorderly departure on April 12 without a deal.","The upper house of Britain's parliament will start debating on Thursday legislation to force Prime Minister Theresa May to seek a Brexit delay to prevent a potentially disorderly departure on April 12 without a deal.","Reuters","2019-04-04T06:34:03+0000","article","None","World","News","5ca5a5b549f0eacbf1f80c79",101,0,"nyt://article/a16e5e82-7588-50fb-b674-75e48aa9b733","Europe",NA,"UK Upper House to Start Approval Process for Brexit Delay Law From 1030 GMT",NA,NA,"UK Upper House to Start Approval Process for Brexit Delay Law From 1030 GMT",NA,NA,NA,"By REUTERS","REUTERS"
"127","https://www.nytimes.com/aponline/2019/04/10/us/ap-us-xgr-sanctuary-cities-arkansas.html","Arkansas Gov. Asa Hutchinson said Wednesday he'll sign legislation cutting off funding to ""sanctuary cities"" that don't cooperate with federal immigration authorities despite the Republican's objections that the measure could open the door to raci...","Arkansas Gov. Asa Hutchinson said Wednesday he'll sign legislation cutting off funding to ""sanctuary cities"" that don't cooperate with federal immigration authorities despite the Republican's objections that the measure could open the door to racial profiling.","AP","2019-04-10T22:25:03+0000","article","None","U.S.","News","5cae6d9949f0eacbf1f827e5",677,0,"nyt://article/7b519517-fa78-5f51-a7bc-8996a872774f",NA,NA,"Arkansas Governor to Sign Anti-'sanctuary Cities' Bill",NA,NA,"Arkansas Governor to Sign Anti-'sanctuary Cities' Bill",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"128","https://www.nytimes.com/reuters/2019/04/10/world/europe/10reuters-spain-politics-election-franco.html","The Valley of the Fallen outside Madrid seems peaceful enough on a sunny spring day but, with national elections just around the corner, its distinction as the burial place of Francisco Franco has turned it into a political battleground.","The Valley of the Fallen outside Madrid seems peaceful enough on a sunny spring day but, with national elections just around the corner, its distinction as the burial place of Francisco Franco has turned it into a political battleground.","Reuters","2019-04-10T11:58:25+0000","article","None","World","News","5caddabb49f0eacbf1f824d6",713,0,"nyt://article/1af020bc-ad43-5e50-be60-01981ac28d50","Europe",NA,"Sowing Divisions, Franco Exhumation Plan Looms Over Spanish Election",NA,NA,"Sowing Divisions, Franco Exhumation Plan Looms Over Spanish Election",NA,NA,NA,"By REUTERS","REUTERS"
"129","https://www.nytimes.com/reuters/2019/04/08/us/politics/08reuters-usa-trump-russia-subpoena-explainer.html","Democrats in the House of Representatives are gearing up to issue subpoenas to try to obtain Special Counsel Robert Mueller's full report on Russia's role in the 2016 U.S. election and President Donald Trump's actions related to the inquiry.","Democrats in the House of Representatives are gearing up to issue subpoenas to try to obtain Special Counsel Robert Mueller's full report on Russia's role in the 2016 U.S. election and President Donald Trump's actions related to the inquiry.","Reuters","2019-04-08T11:55:34+0000","article","None","U.S.","News","5cab371049f0eacbf1f8195c",933,0,"nyt://article/14b76068-cff9-5bc2-b71a-b03d29afc288","Politics",NA,"Explainer: Can Democratic Subpoenas Force the Release of Mueller's Trump-Russia Report?",NA,NA,"Explainer: Can Democratic Subpoenas Force the Release of Mueller's Trump-Russia Report?",NA,NA,NA,"By REUTERS","REUTERS"
"130","https://www.nytimes.com/2019/04/07/world/europe/theresa-may-brexit-compromise.html","Labour leaders said the British prime minister had not bent to any of their demands. They also fear that any compromise on Brexit could be ripped up under her successor.","Labour leaders said the British prime minister had not bent to any of their demands. They also fear that any compromise on Brexit could be ripped up under her successor.","The New York Times","2019-04-07T13:22:04+0000","article","Foreign","World","News","5ca9f9d649f0eacbf1f816ef",1276,0,"nyt://article/7dda3033-3819-59f9-a044-5ec83594551a","Europe","8","Theresa May Signals Openness to Brexit Compromise, but Hurdles Persist",NA,NA,"May Offers to Compromise on Brexit, but Critics Say Her Word Isn’t a Bond",NA,NA,NA,"By BENJAMIN MUELLER",NA
"131","https://www.nytimes.com/reuters/2019/04/06/world/europe/06reuters-britain-eu-customs.html","British Prime Minister Theresa May's government has a plan to enshrine in law a customs arrangement with the European Union in a bid to win over the opposition Labour Party to back a Brexit deal, The Sunday Times newspaper reported.","British Prime Minister Theresa May's government has a plan to enshrine in law a customs arrangement with the European Union in a bid to win over the opposition Labour Party to back a Brexit deal, The Sunday Times newspaper reported.","Reuters","2019-04-06T21:15:57+0000","article","None","World","News","5ca9176849f0eacbf1f81611",105,0,"nyt://article/cf8934f8-7873-590c-9682-c61c605d1894","Europe",NA,"UK PM May Has Plan to Offer Labour Brexit Customs Arrangement: Sunday Times",NA,NA,"UK PM May Has Plan to Offer Labour Brexit Customs Arrangement: Sunday Times",NA,NA,NA,"By REUTERS","REUTERS"
"132","https://www.nytimes.com/aponline/2019/04/09/us/politics/ap-us-election-2020-campaign-rdp-the-latest.html","The Latest on the 2020 presidential race (all times EDT):","The Latest on the 2020 presidential race (all times EDT):","AP","2019-04-09T15:52:05+0000","article","None","U.S.","News","5cacbfff49f0eacbf1f81ea8",388,0,"nyt://article/fd79f04f-e4a6-5959-8be0-b05d6ff33be0","Politics",NA,"The Latest: Warren Says Dems Need More Than Anti-Trump Cry",NA,NA,"The Latest: Warren Says Dems Need More Than Anti-Trump Cry",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
