"","web_url","snippet","lead_paragraph","print_page","source","pub_date","document_type","news_desk","section_name","type_of_material","_id","word_count","score","uri","subsectoinName","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"11","https://www.nytimes.com/2019/04/12/parenting/cbd-oil-safe.html","Caught in the churn of long days and sleepless nights, some parents have found solace in a nonintoxicating chemical derived from hemp. But is it safe?","Caught in the churn of long days and sleepless nights, some parents have found solace in a nonintoxicating chemical derived from hemp. But is it safe?",NA,"The New York Times","2019-04-12T14:01:43+0000","article","Parenting","Parenting","News","5cb09aa149f0eacbf1f835a0",1402,0,"nyt://article/86c7ceb1-288d-5cfe-87d7-a5edc2956a20",NA,"CBD Lures Stressed-Out Parents Looking to Unwind",NA,NA,"CBD Lures Stressed-Out Parents Looking to Unwind",NA,NA,NA,"By CHRISTINA CARON",NA
"12","https://www.nytimes.com/2019/04/09/us/politics/fact-check-family-separation-obama.html","Even as he maintained that the policy is effective, President Trump inaccurately said his administration’s practice of separating families on the border should be pinned on his predecessor.","Even as he maintained that the policy is effective, President Trump inaccurately said his administration’s practice of separating families on the border should be pinned on his predecessor.",NA,"The New York Times","2019-04-09T19:18:43+0000","article","Washington","U.S.","News","5cacf06d49f0eacbf1f8207a",447,0,"nyt://article/e35ff2f8-56a0-55b6-9e4c-e4cd39df9972","Politics","Fact-Checking Trump’s Family Separation Claim about Obama’s Policy","Fact Check of the Day","Fact Check of the Day","Fact-Checking Trump’s Family Separation Claim about Obama’s Policy",NA,NA,NA,"By LINDA QIU",NA
"13","https://www.nytimes.com/2019/04/11/opinion/pork-industry-self-regulation-inspection.html","The Trump administration is eager to let businesses police their own behavior. There is reason to fear the consequences.","The Trump administration is eager to let businesses police their own behavior. There is reason to fear the consequences.","26","The New York Times","2019-04-11T23:52:03+0000","article","Editorial","Opinion","Editorial","5cafd37d49f0eacbf1f8323c",819,0,"nyt://article/a8537619-6341-57b5-a9d4-0936c1dcea10",NA,"You Say Industry Can Regulate Itself? Prove It",NA,NA,"You Say Industry Can Regulate Itself? Prove It",NA,NA,NA,"By THE EDITORIAL BOARD","THE EDITORIAL BOARD"
"14","https://www.nytimes.com/aponline/2019/04/11/us/politics/ap-us-iran-sanctions-the-latest.html","The Latest on the Trump administration's stance on Iran (all times local):","The Latest on the Trump administration's stance on Iran (all times local):",NA,"AP","2019-04-11T05:48:58+0000","article","None","U.S.","News","5caed5a549f0eacbf1f82944",276,0,"nyt://article/aa311390-bae2-582c-beda-7761c31d9fd6","Politics","The Latest: US Labels Iran's Guard a Terrorist Organization",NA,NA,"The Latest: US Labels Iran's Guard a Terrorist Organization",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"15","https://www.nytimes.com/2019/04/11/us/politics/white-house-regulations-fed.html","A memorandum from the Office of Management and Budget would subject rules from independent agencies, including the Federal Reserve, to review.","A memorandum from the Office of Management and Budget would subject rules from independent agencies, including the Federal Reserve, to review.","18","The New York Times","2019-04-11T22:30:19+0000","article","Washington","U.S.","News","5cafc05549f0eacbf1f831ef",515,0,"nyt://article/7a07463b-a91d-51a8-abc9-8ed6f51a98e2","Politics","White House Moves to Gain More Control Over Federal Regulations",NA,NA,"White House  Tightens Grip  On the Rules",NA,NA,NA,"By ALAN RAPPEPORT",NA
"16","https://www.nytimes.com/2019/04/04/opinion/fentanyl-opioids-exposure.html","It’s almost impossible to ingest opioids by accident, but misinformation has triggered a panic about the risks.","It’s almost impossible to ingest opioids by accident, but misinformation has triggered a panic about the risks.","24","The New York Times","2019-04-04T22:23:26+0000","article","Editorial","Opinion","Editorial","5ca6843849f0eacbf1f8100f",749,0,"nyt://article/4ed630ed-db4f-592d-9104-7b073f0893c1",NA,"Fear, Loathing and Fentanyl Exposure",NA,NA,"Fear, Loathing and Fentanyl Exposure",NA,NA,NA,"By THE EDITORIAL BOARD","THE EDITORIAL BOARD"
"17","https://www.nytimes.com/reuters/2019/04/05/world/europe/05reuters-autos-emissions-california.html","The state of California filed a lawsuit on Friday seeking to force two federal agencies to provide data they used to justify rolling back landmark Obama-era vehicle emission standards, accusing the Trump administration of ""willfully withholding"" i...","The state of California filed a lawsuit on Friday seeking to force two federal agencies to provide data they used to justify rolling back landmark Obama-era vehicle emission standards, accusing the Trump administration of ""willfully withholding"" information.",NA,"Reuters","2019-04-05T21:46:13+0000","article","None","World","News","5ca7cd0049f0eacbf1f81433",416,0,"nyt://article/cdaf96e6-37e8-576f-ae6d-f458214778da","Europe","California Sues U.S. Agencies Over Data on Vehicle Emissions Freeze",NA,NA,"California Sues U.S. Agencies Over Data on Vehicle Emissions Freeze",NA,NA,NA,"By REUTERS","REUTERS"
"18","https://www.nytimes.com/2019/04/12/science/scott-kellys-photos-space.html","In orbit aboard the International Space Station, the astronaut wasn’t just gathering data for NASA’s Twins Study. He also produced some, well, stellar images.","In orbit aboard the International Space Station, the astronaut wasn’t just gathering data for NASA’s Twins Study. He also produced some, well, stellar images.",NA,"The New York Times","2019-04-12T19:36:33+0000","article","Science","Science","News","5cb0e91c49f0eacbf1f837ec",166,0,"nyt://article/c2ec5e4a-7a1e-5bbe-a271-8b82ed185939",NA,"Scott Kelly Spent a Year Taking Photos in Space. They’re Beautiful.",NA,NA,"Scott Kelly Spent a Year Taking Photos in Space. They’re Beautiful.",NA,NA,NA,"By SCOTT KELLY",NA
"19","https://www.nytimes.com/2019/04/11/science/scott-kelly-twins-study-nasa.html","Scott Kelly spent 340 days aboard the International Space Station for a unique study of the biological effects of space travel.","Scott Kelly spent 340 days aboard the International Space Station for a unique study of the biological effects of space travel.","20","The New York Times","2019-04-11T18:00:04+0000","article","Science","Science","News","5caf80fe49f0eacbf1f82e2d",843,0,"nyt://article/054749c9-dbbc-528a-a3b3-67ec7ba948dc",NA,"4 Takeaways From That Huge Study of Scott Kelly",NA,NA,"Space Flight Can Change You, in Ways Not for Better",NA,NA,NA,"By CARL ZIMMER",NA
"20","https://www.nytimes.com/aponline/2019/04/09/us/politics/ap-us-iran-sanctions.html","The Trump administration is preparing to designate Iran's Revolutionary Guards Corps as a ""foreign terrorist organization"" &#8212; an unprecedented move that could have widespread implications for U.S. personnel and policy.","The Trump administration is preparing to designate Iran's Revolutionary Guards Corps as a ""foreign terrorist organization"" &#8212; an unprecedented move that could have widespread implications for U.S. personnel and policy.",NA,"AP","2019-04-09T19:19:00+0000","article","None","U.S.","News","5cacf07f49f0eacbf1f8207b",127,0,"nyt://article/9c245a53-22f7-55d3-8a36-1449a9560609","Politics","US to Designate Iran's Guards Corps a Terrorist Organization",NA,NA,"US to Designate Iran's Guards Corps a Terrorist Organization",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
