"","web_url","snippet","lead_paragraph","source","pub_date","document_type","news_desk","section_name","subsectoinName","type_of_material","_id","word_count","score","uri","print_page","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"152","https://www.nytimes.com/aponline/2019/04/01/us/ap-us-chicago-prosecutor.html","Cook County State's Attorney Kim Foxx was elected in 2016 mainly because of anger that the prosecutor she ousted had waited a year to charge a Chicago police officer in the killing of black teenager Laquan McDonald. Then Foxx, who is a survivor of...","Cook County State's Attorney Kim Foxx was elected in 2016 mainly because of anger that the prosecutor she ousted had waited a year to charge a Chicago police officer in the killing of black teenager Laquan McDonald. Then Foxx, who is a survivor of sexual assault as a child, grabbed national attention by charging singer R. Kelly with aggravated sexual abuse.","AP","2019-04-01T17:54:47+0000","article","None","U.S.",NA,"News","5ca250c049f0eacbf1f7fdba",644,0,"nyt://article/1dcc9d82-a8c7-5f21-b513-1b39bdd8ae0e",NA,"2 Major Cases Add Up to Big Doubts About Chicago Prosecutor",NA,NA,"2 Major Cases Add Up to Big Doubts About Chicago Prosecutor",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"153","https://www.nytimes.com/aponline/2019/04/03/world/europe/ap-eu-rel-vatican-south-sudan.html","South Sudan's president and opposition leader are expected to travel to the Vatican next week for what the Holy See says is a ""spiritual retreat"" and opposition officials say is an effort to help implement the country's peace deal.","South Sudan's president and opposition leader are expected to travel to the Vatican next week for what the Holy See says is a ""spiritual retreat"" and opposition officials say is an effort to help implement the country's peace deal.","AP","2019-04-03T11:39:45+0000","article","None","World","Europe","News","5ca49bdb49f0eacbf1f8084d",399,0,"nyt://article/4f0331e0-c1c4-5bc1-b3a2-ce1eaefd6051",NA,"S Sudan President, Opposition to Meet at Vatican 'Retreat'",NA,NA,"S Sudan President, Opposition to Meet at Vatican 'Retreat'",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"154","https://www.nytimes.com/reuters/2019/04/02/world/europe/02reuters-britain-eu-nodeal-ft.html","British Prime Minister Theresa May would rather go for a no-deal Brexit than halt the leaving process altogether, she will tell senior ministers on Tuesday, a reporter for the Financial Times said.","British Prime Minister Theresa May would rather go for a no-deal Brexit than halt the leaving process altogether, she will tell senior ministers on Tuesday, a reporter for the Financial Times said.","Reuters","2019-04-02T11:40:11+0000","article","None","World","Europe","News","5ca34a7649f0eacbf1f801bc",97,0,"nyt://article/5ec0d646-1037-54e8-b50f-0ece17a1f9d9",NA,"UK PM May Would Go for No-Deal Brexit Over Revoking Article 50: FT Reporter",NA,NA,"UK PM May Would Go for No-Deal Brexit Over Revoking Article 50: FT Reporter",NA,NA,NA,"By REUTERS","REUTERS"
"155","https://www.nytimes.com/reuters/2019/04/02/world/americas/02reuters-venezuela-politics-russia-colombia.html","Colombia on Tuesday rejected a Russian warning against foreign military intervention in Venezuela and said it supported a peaceful transition to democracy in the neighboring South American country.","Colombia on Tuesday rejected a Russian warning against foreign military intervention in Venezuela and said it supported a peaceful transition to democracy in the neighboring South American country.","Reuters","2019-04-02T18:25:21+0000","article","None","World","Americas","News","5ca3a96b49f0eacbf1f803c8",390,0,"nyt://article/a22d4558-f369-5865-8172-8c565953a32e",NA,"Colombia Rejects Russia Warning Against Venezuelan Military Action",NA,NA,"Colombia Rejects Russia Warning Against Venezuelan Military Action",NA,NA,NA,"By REUTERS","REUTERS"
"156","https://www.nytimes.com/reuters/2019/04/01/business/01reuters-ecb-policy-lautenschlaeger.html","Euro zone inflation will take longer to rise as political uncertainty is weighing on growth and the European Central Bank underestimated slack in the labour market, ECB board member Sabine Lautenschlaeger said in a newspaper interview.","Euro zone inflation will take longer to rise as political uncertainty is weighing on growth and the European Central Bank underestimated slack in the labour market, ECB board member Sabine Lautenschlaeger said in a newspaper interview.","Reuters","2019-04-01T06:43:03+0000","article","None","Business",NA,"News","5ca1b35149f0eacbf1f7b0f9",103,0,"nyt://article/29db8dfd-9336-57db-8ad0-c00ba0e8f435",NA,"Euro Zone Inflation to Rise More Slowly: Lautenschlaeger",NA,NA,"Euro Zone Inflation to Rise More Slowly: Lautenschlaeger",NA,NA,NA,"By REUTERS","REUTERS"
"157","https://www.nytimes.com/reuters/2019/04/02/world/europe/02reuters-eu-election-france.html","Marine Le Pen, the leader of France's far-right party, said on Tuesday she would raise funds from the public for next month's European Parliament elections, after her party failed to secure a multi-million-euro bank loan.","Marine Le Pen, the leader of France's far-right party, said on Tuesday she would raise funds from the public for next month's European Parliament elections, after her party failed to secure a multi-million-euro bank loan.","Reuters","2019-04-02T12:01:37+0000","article","None","World","Europe","News","5ca34f7b49f0eacbf1f801d7",348,0,"nyt://article/a2be075d-ae96-58a7-b3f0-a2f5dbd56b72",NA,"Shunned by Banks, France's Le Pen Seeks to Crowdfund EU Election Campaign",NA,NA,"Shunned by Banks, France's Le Pen Seeks to Crowdfund EU Election Campaign",NA,NA,NA,"By REUTERS","REUTERS"
"158","https://www.nytimes.com/2019/04/03/world/europe/theresa-may-jeremy-corbyn-brexit-odd-couple.html","Cross-party cooperation goes so profoundly against the grain in Britain’s Parliament, the last-ditch effort had a slightly unreal feeling, as if the laws of physics had been suspended.","Cross-party cooperation goes so profoundly against the grain in Britain’s Parliament, the last-ditch effort had a slightly unreal feeling, as if the laws of physics had been suspended.","The New York Times","2019-04-03T22:15:37+0000","article","Foreign","World","Europe","News","5ca530e449f0eacbf1f80b82",1059,0,"nyt://article/8963b7aa-17b2-5e44-957f-c5175c5cf212","7","May and Corbyn, Old Adversaries, Weigh a Brexit Partnership",NA,NA,"Odd Couple Set Aside Accustomed Bile to Collaborate on Brexit",NA,NA,NA,"By ELLEN BARRY",NA
"159","https://www.nytimes.com/aponline/2019/03/31/world/americas/ap-lt-venezuela-the-latest.html","The Latest on Venezuela's crisis (all times local):","The Latest on Venezuela's crisis (all times local):","AP","2019-04-01T01:42:42+0000","article","None","World","Americas","News","5ca16ced49f0eacbf1f7b089",364,0,"nyt://article/6b393d24-51e0-51b2-9fc3-26f87dcccb93",NA,"The Latest: Maduro Announces 30-Day Rationing Plan for Power",NA,NA,"The Latest: Maduro Announces 30-Day Rationing Plan for Power",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"160","https://www.nytimes.com/2019/04/01/technology/india-elections-facebook.html","With as many as 879 million eligible voters set to cast ballots in the coming weeks, Facebook is struggling to cope with the disinformation and hate speech that is circulating online.","With as many as 879 million eligible voters set to cast ballots in the coming weeks, Facebook is struggling to cope with the disinformation and hate speech that is circulating online.","The New York Times","2019-04-01T20:06:00+0000","article","Business","Technology",NA,"News","5ca26f8249f0eacbf1f7fe56",1528,0,"nyt://article/4efcbe4e-fd67-5790-a818-64f0f8476133","1","In India Election, False Posts and Hate Speech Flummox Facebook",NA,NA,"Flood of Fake Posts Tests Facebook as India Votes",NA,NA,NA,"By VINDU GOEL and SHEERA FRENKEL",NA
"161","https://www.nytimes.com/reuters/2019/04/02/technology/02reuters-india-pakistan-socialmedia.html","Pakistani social media campaigner Hanzala Tayyab leads about 300 ultra-nationalist cyber warriors fighting an internet war with arch-foe India, in a battle that is increasingly sucking in global tech giants such as Twitter and Facebook. ","Pakistani social media campaigner Hanzala Tayyab leads about 300 ultra-nationalist cyber warriors fighting an internet war with arch-foe India, in a battle that is increasingly sucking in global tech giants such as Twitter and Facebook. ","Reuters","2019-04-02T12:31:24+0000","article","None","Technology",NA,"News","5ca3567649f0eacbf1f801ea",939,0,"nyt://article/bad3aef2-dfe6-5ccf-bf16-720442a91070",NA,"Facebook, Twitter Sucked Into India-Pakistan Information War",NA,NA,"Facebook, Twitter Sucked Into India-Pakistan Information War",NA,NA,NA,"By REUTERS","REUTERS"
"162","https://www.nytimes.com/aponline/2019/04/02/us/ap-us-lt-governor-accuser.html","House Republicans said Tuesday that they tried and failed to broker a deal with Democrats that would allow for a bipartisan public hearing in which two women who accuse Virginia Lt. Gov. Justin Fairfax of sexual assault could testify under oath.","House Republicans said Tuesday that they tried and failed to broker a deal with Democrats that would allow for a bipartisan public hearing in which two women who accuse Virginia Lt. Gov. Justin Fairfax of sexual assault could testify under oath.","AP","2019-04-02T12:48:44+0000","article","None","U.S.",NA,"News","5ca35a8649f0eacbf1f801f9",689,0,"nyt://article/144e00e8-9a66-5e4a-9cac-11646f4b5eae",NA,"GOP: Dems Won't Hold Bipartisan Hearing for Fairfax Accusers",NA,NA,"GOP: Dems Won't Hold Bipartisan Hearing for Fairfax Accusers",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
