"","web_url","snippet","lead_paragraph","source","pub_date","document_type","news_desk","section_name","subsectoinName","type_of_material","_id","word_count","score","uri","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization","print_page"
"513","https://www.nytimes.com/reuters/2019/04/07/world/africa/07reuters-sudan-protests.html","Thousands of protesters held a sit-in outside Sudanese President Omar al-Bashir's residence in central Khartoum on Sunday, and crowds chanting anti-government slogans filled several main streets, witnesses said.","Thousands of protesters held a sit-in outside Sudanese President Omar al-Bashir's residence in central Khartoum on Sunday, and crowds chanting anti-government slogans filled several main streets, witnesses said.","Reuters","2019-04-07T11:03:55+0000","article","None","World","Africa","News","5ca9d97549f0eacbf1f816cb",532,0,"nyt://article/3e810e2e-8efd-51ac-9423-f118ca75f8c3","Thousands of Sudanese Protesters Hold Second Day of Sit-In Outside Bashir's Compound",NA,NA,"Thousands of Sudanese Protesters Hold Second Day of Sit-In Outside Bashir's Compound",NA,NA,NA,"By REUTERS","REUTERS",NA
"514","https://www.nytimes.com/reuters/2019/04/07/us/politics/07reuters-usa-trump-taxes.html","President Donald Trump's tax returns will never be handed over to Democratic lawmakers, White House Chief of Staff Mick Mulvaney said on Sunday, defying an effort in Congress to learn more about the real estate mogul's personal finances.","President Donald Trump's tax returns will never be handed over to Democratic lawmakers, White House Chief of Staff Mick Mulvaney said on Sunday, defying an effort in Congress to learn more about the real estate mogul's personal finances.","Reuters","2019-04-07T13:25:00+0000","article","None","U.S.","Politics","News","5ca9fa8549f0eacbf1f816f3",548,0,"nyt://article/61870fd0-9277-52d8-b7b7-7499e764ff45","White House to Democrats Seeking Trump Tax Returns: 'Never'",NA,NA,"White House to Democrats Seeking Trump Tax Returns: 'Never'",NA,NA,NA,"By REUTERS","REUTERS",NA
"515","https://www.nytimes.com/reuters/2019/04/09/sports/basketball/09reuters-basketball-ncaa-stjn-mullin-resigns.html","Chris Mullin stepped down as St. John's head coach on Tuesday, with speculation falling on Arizona State coach Bobby Hurley as his replacement.","Chris Mullin stepped down as St. John's head coach on Tuesday, with speculation falling on Arizona State coach Bobby Hurley as his replacement.","Reuters","2019-04-10T00:25:24+0000","article","None","Sports","Pro Basketball","News","5cad384e49f0eacbf1f8228b",578,0,"nyt://article/9f6ecab8-5848-59ed-8d9b-64e790f83fb8","Mullin Steps Down at St. John's; Hurley Next?",NA,NA,"Mullin Steps Down at St. John's; Hurley Next?",NA,NA,NA,"By REUTERS","REUTERS",NA
"516","https://www.nytimes.com/2019/04/09/us/measles-outbreak.html","The C.D.C. reported 78 new cases of measles last week, including the first cases this year in Florida, Indiana, Massachusetts and Nevada. The total for 2019 is now at 465.","The C.D.C. reported 78 new cases of measles last week, including the first cases this year in Florida, Indiana, Massachusetts and Nevada. The total for 2019 is now at 465.","The New York Times","2019-04-09T15:54:12+0000","article","National","U.S.",NA,"News","5cacc07e49f0eacbf1f81f17",613,0,"nyt://article/44d579ed-407d-5f03-ab5a-86f1b8e7cdbe","New Measles Cases Reach Weekly High for 2019",NA,NA,"Outbreak Has Spread to Four States",NA,NA,NA,"By ADEEL HASSAN and RICHARD A. OPPEL Jr",NA,"24"
"517","https://www.nytimes.com/reuters/2019/04/08/world/asia/08reuters-india-election-complaints.html","Did Indian Prime Minister Narendra Modi break election rules by addressing the nation on an anti-satellite test recently? Is it right to have a channel dedicated to the leader? Can the country's armed forces be called ""Modi's soldiers""?","Did Indian Prime Minister Narendra Modi break election rules by addressing the nation on an anti-satellite test recently? Is it right to have a channel dedicated to the leader? Can the country's armed forces be called ""Modi's soldiers""?","Reuters","2019-04-08T04:24:54+0000","article","None","World","Asia Pacific","News","5caacd7049f0eacbf1f81822",627,0,"nyt://article/2a257588-f117-5332-9a51-c0d8990b388b","India's Election Commission: Buried Under Tide of Complaints, Bias Accusations",NA,NA,"India's Election Commission: Buried Under Tide of Complaints, Bias Accusations",NA,NA,NA,"By REUTERS","REUTERS",NA
"518","https://www.nytimes.com/reuters/2019/04/07/business/07reuters-global-markets.html","Asian shares inched up to seven-month highs on Monday as investors cheered a rebound in U.S. payrolls and hints of more stimulus in China, though there was some caution ahead of what is likely to be a tough U.S. earnings season.","Asian shares inched up to seven-month highs on Monday as investors cheered a rebound in U.S. payrolls and hints of more stimulus in China, though there was some caution ahead of what is likely to be a tough U.S. earnings season.","Reuters","2019-04-08T00:33:53+0000","article","None","Business",NA,"News","5caa974b49f0eacbf1f817de",591,0,"nyt://article/52252b79-5789-5a60-beac-f7533ccc0823","Asia Shares at Seven-Month Peak as China Talks Stimulus",NA,NA,"Asia Shares at Seven-Month Peak as China Talks Stimulus",NA,NA,NA,"By REUTERS","REUTERS",NA
"519","https://www.nytimes.com/reuters/2019/04/06/world/middleeast/06reuters-usa-iran.html","The United States is expected to designate Iran's elite Revolutionary Guards Corps a foreign terrorist organisation, three U.S. officials told Reuters, marking the first time Washington has formally labelled another country's military a terrorist ...","The United States is expected to designate Iran's elite Revolutionary Guards Corps a foreign terrorist organisation, three U.S. officials told Reuters, marking the first time Washington has formally labelled another country's military a terrorist group. ","Reuters","2019-04-06T17:01:10+0000","article","None","World","Middle East","News","5ca8dbb249f0eacbf1f815ab",626,0,"nyt://article/5c3f970e-15a4-5581-9ff7-2bdcf5ca9b96","U.S. to Designate Elite Iranian Force as Terrorist Organisation",NA,NA,"U.S. to Designate Elite Iranian Force as Terrorist Organisation",NA,NA,NA,"By REUTERS","REUTERS",NA
"520","https://www.nytimes.com/reuters/2019/04/05/business/05reuters-global-markets.html","Global stocks rose to a fresh six-month high on Friday after concerns about an economic slowdown were lessened by U.S. labor market data, while optimism that a trade deal between the United States and China was drawing closer also lifted sentiment...","Global stocks rose to a fresh six-month high on Friday after concerns about an economic slowdown were lessened by U.S. labor market data, while optimism that a trade deal between the United States and China was drawing closer also lifted sentiment.","Reuters","2019-04-05T09:40:29+0000","article","None","Business",NA,"News","5ca722e749f0eacbf1f811aa",569,0,"nyt://article/a0ee16dd-56bb-5bee-bfbf-3adaf9a89ffc","U.S. Payrolls Report, Trade Optimism Buoy Stocks",NA,NA,"U.S. Payrolls Report, Trade Optimism Buoy Stocks",NA,NA,NA,"By REUTERS","REUTERS",NA
"521","https://www.nytimes.com/reuters/2019/04/05/business/05reuters-jet-airways-debt-lessors-exclusive.html","Lessors to Jet Airways Ltd are planning to ask India's aviation regulator to de-register many more planes leased to the airline, three sources said, signaling a planned bailout of the debt-laden carrier is failing to assuage their concerns.","Lessors to Jet Airways Ltd are planning to ask India's aviation regulator to de-register many more planes leased to the airline, three sources said, signaling a planned bailout of the debt-laden carrier is failing to assuage their concerns.","Reuters","2019-04-05T08:43:25+0000","article","None","Business",NA,"News","5ca7158649f0eacbf1f81153",618,0,"nyt://article/28e40886-fb35-5cd2-996f-98fa4b5b96ca","Exclusive: Jet Crisis Deepens, Lessors to De-Register More Planes Over 10 Days-Sources",NA,NA,"Exclusive: Jet Crisis Deepens, Lessors to De-Register More Planes Over 10 Days-Sources",NA,NA,NA,"By REUTERS","REUTERS",NA
"522","https://www.nytimes.com/2019/04/07/us/trash-pickers-san-francisco-zuckerberg.html","In a city swollen by the wealth of the tech industry, the rich and poor live very separate lives. But sometimes they connect through the garbage.","In a city swollen by the wealth of the tech industry, the rich and poor live very separate lives. But sometimes they connect through the garbage.","The New York Times","2019-04-07T06:59:04+0000","article","National","U.S.",NA,"News","5ca9a01249f0eacbf1f8168b",1426,0,"nyt://article/b3789caf-f031-58a2-956b-d5010bbd8ba8","In San Francisco, Making a Living From Your Billionaire Neighbor’s Trash",NA,NA,"The Trickle-Down Economics of Trash Picking",NA,NA,NA,"By THOMAS FULLER",NA,"1"
"523","https://www.nytimes.com/2019/04/10/world/americas/brazil-rio-caimans-favela.html","A storm knocked down the walls of a farm that bred caimans, cousins of alligators, in an area controlled by a criminal paramilitary group.","A storm knocked down the walls of a farm that bred caimans, cousins of alligators, in an area controlled by a criminal paramilitary group.","The New York Times","2019-04-10T21:27:53+0000","article","Foreign","World","Americas","News","5cae603349f0eacbf1f827b9",683,0,"nyt://article/287229b6-466f-5622-b8e6-5e6e40a96907","‘It’s Complete Chaos’: Storm Frees Gators in Rio Favela Where Officials Won’t Go",NA,NA,"‘Complete Chaos’  In Rio as Flooding Sets Alligators Free",NA,NA,NA,"By MANUELA ANDREONI",NA,"4"
"524","https://www.nytimes.com/reuters/2019/04/09/business/09reuters-nissan-ghosn.html","A defiant Carlos Ghosn accused ""backstabbing"" former colleagues of conspiring to oust him as Nissan chairman and threatening the Japanese automaker's future, in a video marking his first public address since his initial arrest last year.","A defiant Carlos Ghosn accused ""backstabbing"" former colleagues of conspiring to oust him as Nissan chairman and threatening the Japanese automaker's future, in a video marking his first public address since his initial arrest last year.","Reuters","2019-04-09T06:28:08+0000","article","None","Business",NA,"News","5cac3bd249f0eacbf1f81c12",647,0,"nyt://article/2aa32444-597c-58be-b4c4-5edf6fc23c8e","Ghosn Slams 'Backstabbing' Former Nissan Colleagues in Video Address",NA,NA,"Ghosn Slams 'Backstabbing' Former Nissan Colleagues in Video Address",NA,NA,NA,"By REUTERS","REUTERS",NA
"525","https://www.nytimes.com/2019/04/08/us/python-florida.html","The state has worked hard to decrease its population of Burmese pythons, but the nonnative species is resilient.","The state has worked hard to decrease its population of Burmese pythons, but the nonnative species is resilient.","The New York Times","2019-04-08T20:35:12+0000","article","Express","U.S.",NA,"News","5cabb0da49f0eacbf1f81aca",722,0,"nyt://article/bf56ddc9-6faa-5ab1-9dae-6a646abe7483","A 17-Foot Burmese Python Was Found in Florida. What Was It Even Doing There?",NA,NA,"A 17-Foot Burmese Python Was Found in Florida. What Was It Even Doing There?",NA,NA,NA,"By SANDRA E. GARCIA",NA,NA
"526","https://www.nytimes.com/reuters/2019/04/06/world/asia/06reuters-india-kashmir-pakistan-f16.html","Pakistani Prime Minister Imran Khan blamed India's ruling Bharatiya Janata Party (BJP) for ""whipping up war hysteria"" over claims that India shot down a Pakistani F-16 during a standoff in February, saying the truth is always the best policy.","Pakistani Prime Minister Imran Khan blamed India's ruling Bharatiya Janata Party (BJP) for ""whipping up war hysteria"" over claims that India shot down a Pakistani F-16 during a standoff in February, saying the truth is always the best policy.","Reuters","2019-04-06T10:33:53+0000","article","None","World","Asia Pacific","News","5ca880eb49f0eacbf1f81516",597,0,"nyt://article/64942346-1b25-5309-a050-6c1c6e68cfd3","Pakistan PM Accuses India of War Hysteria Over Downed F-16 Claim",NA,NA,"Pakistan PM Accuses India of War Hysteria Over Downed F-16 Claim",NA,NA,NA,"By REUTERS","REUTERS",NA
"527","https://www.nytimes.com/reuters/2019/04/05/business/05reuters-commerzbank-m-a-deutsche-bank-exclusive.html","Deutsche Bank said it was open to further restructuring of its U.S. investment bank after Commerzbank executives sought clarity on its plans during merger talks, according to three sources familiar with the matter.","Deutsche Bank said it was open to further restructuring of its U.S. investment bank after Commerzbank executives sought clarity on its plans during merger talks, according to three sources familiar with the matter.","Reuters","2019-04-05T17:37:08+0000","article","None","Business",NA,"News","5ca7929e49f0eacbf1f81386",609,0,"nyt://article/c72ed34e-bbad-5880-b41b-4eb0ad4293ac","Exclusive: Deutsche Bank Open to U.S. Revamp in Merger Talks-Sources",NA,NA,"Exclusive: Deutsche Bank Open to U.S. Revamp in Merger Talks-Sources",NA,NA,NA,"By REUTERS","REUTERS",NA
